fltno,dest,source,freq,route,distance
AI 0453,DEL,ATQ,4,ATQ-DEL,414.49
AI 0803,DEL,BLR,7,BLR-DEL,1708.87
AI 0893,DEL,DIB,1,DIB-DEL,1761.61
AI 0485,DEL,IXZ,1,IXZ-DEL,2484.67
AI 0659,BOM,TIR,2,TIR-BOM,935.31
AI 0787,CCU,IXZ,1,IXZ-CCU,1306.14
AI 0895,DEL,IXA,1,IXA-DEL,1502.19
AI 0753,CCU,IXS,2,IXS-CCU,525.01
AI 0459,DEL,VGA,2,VGA-DEL,1389.84
AI 0705,CCU,DIB,4,DIB-CCU,851.91
AI 0423,DEL,STV,1,STV-DEL,936.60
AI 0525,HYD,CCU,7,CCU-HYD,1207.67
AI 0440,MAA,DEL,7,DEL-MAA,1759.82
AI 0675,BOM,CCU,3,CCU-BOM,1665.49
AI 0627,BOM,NAG,4,NAG-BOM,682.59
AI 0469,DEL,NAG,1,NAG-DEL,852.90
AI 0804,BLR,DEL,6,DEL-BLR,1708.87
AI 0851,DEL,PNQ,7,PNQ-DEL,1155.08
AI 0559,HYD,DEL,7,DEL-HYD,1266.57
AI 0640,BLR,BOM,5,BOM-BLR,834.16
AI 0887,DEL,BOM,7,BOM-DEL,1136.82
AI 0523,BLR,JAI,4,JAI-BLR,1527.96
AI 0688,BOM,DED,2,DED-BOM,1345.34
AI 0707,BOM,IDR,2,IDR-BOM,505.95
AI 0866,BOM,DEL,4,DEL-BOM,1136.82
AI 3425,DEL,SXR,1,SXR-DEL,642.91
AI 0411,DEL,LKO,7,LKO-DEL,423.61
AI 0563,MAA,BLR,3,BLR-MAA,267.75
AI 0401,DEL,CCU,3,CCU-DEL,1312.81
AI 0560,DEL,HYD,2,HYD-DEL,1266.57
AI 0679,BOM,IXE,4,IXE-BOM,714.75
AI 0715,CCU,PNQ,4,PNQ-CCU,1577.31
AI 3449,DEL,IXL,3,IXL-DEL,621.97
AI 0454,ATQ,DEL,4,DEL-ATQ,414.49
AI 0445,DEL,IXL,4,IXL-DEL,621.97
AI 0516,BLR,HYD,3,HYD-BLR,455.16
AI 0754,IXS,CCU,2,CCU-IXS,525.01
AI 0821,DEL,IXJ,7,IXJ-DEL,507.77
AI 0776,BLR,CCU,7,CCU-BLR,1546.84
AI 0660,TIR,BOM,2,BOM-TIR,935.31
AI 0706,DIB,CCU,4,CCU-DIB,851.91
AI 0879,DEL,IXB,1,IXB-DEL,1125.76
AI 0412,LKO,DEL,4,DEL-LKO,423.61
AI 0423,STV,CCU,1,CCU-STV,1628.72
AI 0564,BLR,MAA,3,MAA-BLR,267.75
AI 0708,IDR,BOM,2,BOM-IDR,505.95
AI 0896,IXA,DEL,1,DEL-IXA,1502.19
AI 0481,DEL,BHO,3,BHO-DEL,586.29
AI 0628,NAG,BOM,4,BOM-NAG,682.59
AI 0460,VGA,DEL,2,DEL-VGA,1389.84
AI 0505,BLR,DEL,7,DEL-BLR,1708.87
AI 0788,IXZ,CCU,1,CCU-IXZ,1306.14
AI 0671,BOM,MAA,7,MAA-BOM,1033.40
AI 3426,SXR,DEL,1,DEL-SXR,642.91
AI 0549,MAA,IXZ,1,IXZ-MAA,1372.56
AI 0651,BOM,RPR,3,RPR-BOM,954.70
AI 3415,IXL,IXC,3,IXC-IXL,391.52
AI 0407,DEL,PAT,6,PAT-DEL,857.01
AI 0639,BOM,BLR,5,BLR-BOM,834.16
AI 0894,DIB,DEL,1,DEL-DIB,1761.61
AI 0676,CCU,BOM,3,BOM-CCU,1665.49
AI 0851,PNQ,AMD,6,AMD-PNQ,517.35
AI 0470,NAG,DEL,1,DEL-NAG,852.90
AI 0679,IXE,BLR,4,BLR-IXE,306.15
AI 0429,DEL,MAA,7,MAA-DEL,1759.82
AI 0558,DEL,HYD,7,HYD-DEL,1266.57
AI 0809,BOM,DEL,7,DEL-BOM,1136.82
AI 0526,CCU,HYD,7,HYD-CCU,1207.67
AI 0486,IXZ,DEL,1,DEL-IXZ,2484.67
AI 0515,HYD,BLR,3,BLR-HYD,455.16
AI 0647,BOM,JGA,4,JGA-BOM,478.61
AI 0695,BOM,VNS,4,VNS-BOM,1247.48
AI 0689,DED,BOM,2,BOM-DED,1345.34
AI 0821,IXJ,SXR,7,SXR-IXJ,144.48
AI 3743,CCU,IXA,1,IXA-CCU,316.55
AI 0445,IXL,IXC,4,IXC-IXL,391.52
AI 0524,JAI,BLR,3,BLR-JAI,1527.96
AI 0657,BOM,CJB,3,CJB-BOM,1001.79
AI 0865,DEL,BOM,4,BOM-DEL,1136.82
AI 0477,DEL,BBI,3,BBI-DEL,1277.42
AI 0716,PNQ,CCU,2,CCU-PNQ,1577.31
AI 3416,IXC,IXL,3,IXL-IXC,391.52
AI 0402,CCU,DEL,3,DEL-CCU,1312.81
AI 0512,DEL,COK,4,COK-DEL,2047.67
AI 0543,HYD,DEL,2,DEL-HYD,1266.57
AI 0889,DEL,IMF,4,IMF-DEL,1720.47
AI 0482,BHO,DEL,3,DEL-BHO,586.29
AI 0680,BLR,IXE,4,IXE-BLR,306.15
AI 0766,MAA,CCU,2,CCU-MAA,1385.71
AI 0506,DEL,BLR,6,BLR-DEL,1708.87
AI 0880,IXB,DEL,1,DEL-IXB,1125.76
AI 0822,SXR,IXJ,7,IXJ-SXR,144.48
AI 0851,AMD,DEL,6,DEL-AMD,755.09
AI 0721,CCU,IXB,2,IXB-CCU,447.89
AI 3744,IXA,CCU,1,CCU-IXA,316.55
AI 0417,DEL,IXR,3,IXR-DEL,1007.64
AI 0669,BOM,BBI,6,BBI-BOM,1361.68
AI 0674,CCU,STV,1,STV-CCU,1628.72
AI 3450,IXL,DEL,3,DEL-IXL,621.97
AI 0651,RPR,VTZ,3,VTZ-RPR,414.87
AI 0671,MAA,IXM,7,IXM-MAA,417.49
AI 0408,PAT,DEL,6,DEL-PAT,857.01
AI 0648,JGA,BOM,4,BOM-JGA,478.61
AI 0775,CCU,BLR,7,BLR-CCU,1546.84
AI 0445,IXC,DEL,3,DEL-IXC,237.35
AI 0550,IXZ,MAA,1,MAA-IXZ,1372.56
AI 0663,BOM,GOI,4,GOI-BOM,424.80
AI 0677,DEL,BOM,7,BOM-DEL,1136.82
AI 0678,BOM,DEL,7,DEL-BOM,1136.82
AI 0727,BLR,GAU,3,GAU-BLR,2039.39
AI 0883,DEL,GOI,1,GOI-DEL,1502.89
AI 0680,IXE,BOM,4,BOM-IXE,714.75
AI 0822,IXJ,DEL,7,DEL-IXJ,507.77
AI 0521,HYD,VTZ,4,VTZ-HYD,511.79
AI 0696,VNS,BOM,4,BOM-VNS,1247.48
AI 0658,CJB,BOM,3,BOM-CJB,1001.79
AI 3713,CCU,IMF,1,IMF-CCU,602.16
AI 0429,MAA,CJB,7,CJB-MAA,403.82
AI 0478,BBI,DEL,3,DEL-BBI,1277.42
AI 0672,IXM,MAA,7,MAA-IXM,417.49
AI 0527,BLR,PNQ,3,PNQ-BLR,722.69
AI 0403,DEL,RAJ,3,RAJ-DEL,940.17
AI 0651,VTZ,BOM,3,BOM-VTZ,1103.34
AI 0722,IXB,CCU,2,CCU-IXB,447.89
AI 0745,CCU,IXA,3,IXA-CCU,316.55
AI 0681,BOM,COK,3,COK-BOM,1063.81
AI 0849,DEL,PNQ,7,PNQ-DEL,1155.08
AI 0418,IXR,DEL,3,DEL-IXR,1007.64
AI 0475,DEL,JDH,3,JDH-DEL,474.52
AI 0890,IMF,DEL,4,DEL-IMF,1720.47
AI 0664,GOI,BOM,4,BOM-GOI,424.80
AI 0571,HYD,JAI,4,JAI-HYD,1100.16
AI 0697,BOM,PAT,3,PAT-BOM,1448.79
AI 3714,IMF,CCU,1,CCU-IMF,602.16
AI 0670,BBI,BOM,4,BOM-BBI,1361.68
AI 0674,STV,BBI,1,BBI-STV,1363.35
AI 0539,CJB,MAA,7,MAA-CJB,403.82
AI 0672,MAA,BOM,7,BOM-MAA,1033.40
AI 0773,BOM,CCU,3,CCU-BOM,1665.49
AI 0529,HYD,CCU,7,CCU-HYD,1207.67
AI 0655,BOM,RAJ,4,RAJ-BOM,418.82
AI 0513,COK,DEL,4,DEL-COK,2047.67
AI 0544,DEL,HYD,5,HYD-DEL,1266.57
AI 0765,CCU,MAA,2,MAA-CCU,1385.71
AI 0535,DEL,CCU,7,CCU-DEL,1312.81
AI 0473,DEL,BBI,7,BBI-DEL,1277.42
AI 0522,VTZ,HYD,4,HYD-VTZ,511.79
AI 0631,BOM,BHO,7,BHO-BOM,657.69
AI 0746,IXA,CCU,3,CCU-IXA,316.55
AI 0528,PNQ,BLR,3,BLR-PNQ,722.69
AI 0531,DEL,AMD,3,AMD-DEL,755.09
AI 0687,BOM,DEL,6,DEL-BOM,1136.82
AI 0884,GOI,DEL,1,DEL-GOI,1502.89
AI 0404,RAJ,DEL,5,DEL-RAJ,940.17
AI 0415,DEL,PAT,1,PAT-DEL,857.01
AI 0476,JDH,DEL,3,DEL-JDH,474.52
AI 0503,BLR,DEL,7,DEL-BLR,1708.87
AI 0537,DEL,BOM,7,BOM-DEL,1136.82
AI 0728,GAU,BLR,3,BLR-GAU,2039.39
AI 0441,DEL,IXU,1,IXU-DEL,981.77
AI 0501,DEL,BLR,7,BLR-DEL,1708.87
AI 0553,DEL,MAA,3,MAA-DEL,1759.82
AI 0701,CCU,DEL,5,DEL-CCU,1312.81
AI 0608,BLR,BOM,7,BOM-BLR,834.16
AI 0637,BOM,AMD,1,AMD-BOM,444.16
AI 0427,DEL,VNS,1,VNS-DEL,667.30
AI 0467,DEL,VGA,4,VGA-DEL,1389.84
AI 0682,COK,BOM,3,BOM-COK,1063.81
AI 0811,DEL,LKO,7,LKO-DEL,423.61
AI 0465,DEL,COK,6,COK-DEL,2047.67
AI 0539,MAA,DEL,7,DEL-MAA,1759.82
AI 0571,JAI,AMD,4,AMD-JAI,525.50
AI 0656,RAJ,BOM,4,BOM-RAJ,418.82
AI 0451,DEL,VTZ,1,VTZ-DEL,1357.23
AI 0424,BBI,STV,1,STV-BBI,1363.35
AI 0698,PAT,BOM,3,BOM-PAT,1448.79
AI 0685,BOM,MAA,6,MAA-BOM,1033.40
AI 0850,PNQ,DEL,7,DEL-PNQ,1155.08
AI 0483,DEL,RPR,6,RPR-DEL,944.19
AI 0888,BOM,DEL,6,DEL-BOM,1136.82
AI 0530,CCU,HYD,7,HYD-CCU,1207.67
AI 0577,BLR,CCU,6,CCU-BLR,1546.84
AI 0416,PAT,DEL,1,DEL-PAT,857.01
AI 0474,BBI,DEL,7,DEL-BBI,1277.42
AI 0545,MAA,HYD,7,HYD-MAA,507.21
AI 0437,DEL,BHO,6,BHO-DEL,586.29
AI 0531,AMD,BDQ,3,BDQ-AMD,102.33
AI 0774,CCU,BOM,3,BOM-CCU,1665.49
AI 0428,VNS,DEL,1,DEL-VNS,667.30
AI 0638,AMD,BOM,1,BOM-AMD,444.16
AI 0624,DEL,BOM,6,BOM-DEL,1136.82
AI 0632,BHO,BOM,7,BOM-BHO,657.69
AI 0812,LKO,DEL,7,DEL-LKO,423.61
AI 0840,HYD,DEL,5,DEL-HYD,1266.57
AI 0536,CCU,DEL,7,DEL-CCU,1312.81
AI 0571,AMD,HYD,4,HYD-AMD,887.70
AI 0442,IXU,DEL,1,DEL-IXU,981.77
AI 0479,DEL,ATQ,7,ATQ-DEL,414.49
AI 0777,BOM,CCU,3,CCU-BOM,1665.49
AI 0468,VGA,DEL,4,DEL-VGA,1389.84
AI 0609,BOM,BLR,7,BLR-BOM,834.16
AI 0502,BLR,DEL,7,DEL-BLR,1708.87
AI 0538,BOM,DEL,7,DEL-BOM,1136.82
AI 0531,BDQ,DEL,3,DEL-BDQ,793.04
AI 0617,BOM,HYD,3,HYD-BOM,622.84
AI 0702,DEL,CCU,5,CCU-DEL,1312.81
AI 0452,VTZ,DEL,1,DEL-VTZ,1357.23
AI 0554,MAA,DEL,3,DEL-MAA,1759.82
AI 0546,HYD,MAA,7,MAA-HYD,507.21
AI 0424,STV,DEL,1,DEL-STV,936.60
AI 0504,DEL,BLR,7,BLR-DEL,1708.87
AI 0484,RPR,DEL,6,DEL-RPR,944.19
AI 0540,DEL,MAA,7,MAA-DEL,1759.82
AI 0466,COK,DEL,6,DEL-COK,2047.67
AI 0438,BHO,DEL,6,DEL-BHO,586.29
AI 0686,MAA,BOM,6,BOM-MAA,1033.40
AI 0863,DEL,BOM,6,BOM-DEL,1136.82
AI 0480,ATQ,DEL,7,DEL-ATQ,414.49
AI 0578,CCU,BLR,6,BLR-CCU,1546.84
AI 0618,HYD,BOM,3,BOM-HYD,622.84
AI 0778,CCU,BOM,3,BOM-CCU,1665.49
AI 0787,CCU,IXZ,1,IXZ-CCU,1306.14
AI 0897,DEL,GAU,3,GAU-DEL,1456.12
AI 0895,DEL,IXA,1,IXA-DEL,1502.19
AI 0419,DEL,STV,2,STV-DEL,936.60
AI 0453,DEL,ATQ,2,ATQ-DEL,414.49
AI 0459,DEL,VGA,3,VGA-DEL,1389.84
AI 0719,CCU,BBI,1,BBI-CCU,381.89
AI 0627,BOM,NAG,1,NAG-BOM,682.59
AI 3449,DEL,IXL,3,IXL-DEL,621.97
AI 0469,DEL,RPR,3,RPR-DEL,944.19
AI 0542,DEL,TIR,2,TIR-DEL,1678.54
AI 0507,BOM,HBX,3,HBX-BOM,476.62
AI 0738,BLR,BBI,3,BBI-BLR,1165.68
AI 0804,BLR,DEL,1,DEL-BLR,1708.87
AI 0866,BOM,DEL,1,DEL-BOM,1136.82
AI 3425,DEL,SXR,2,SXR-DEL,642.91
AI 0401,DEL,CCU,4,CCU-DEL,1312.81
AI 0560,DEL,HYD,4,HYD-DEL,1266.57
AI 0827,DEL,SXR,1,SXR-DEL,642.91
AI 0611,BOM,JAI,4,JAI-BOM,911.33
AI 0720,BBI,CCU,1,CCU-BBI,381.89
AI 0625,BOM,LKO,3,LKO-BOM,1183.58
AI 0649,BOM,ATQ,3,ATQ-BOM,1416.61
AI 0788,IXZ,CCU,1,CCU-IXZ,1306.14
AI 0453,ATQ,NDC,2,NDC-ATQ,1415.49
AI 3450,IXL,DEL,3,DEL-IXL,621.97
AI 0898,GAU,DEL,3,DEL-GAU,1456.12
AI 0411,LKO,DED,3,DED-LKO,464.34
AI 0420,STV,DEL,2,DEL-STV,936.60
AI 0508,HBX,BOM,3,BOM-HBX,476.62
AI 0896,IXA,DEL,1,DEL-IXA,1502.19
AI 0481,DEL,BHO,3,BHO-DEL,586.29
AI 0628,NAG,BOM,1,BOM-NAG,682.59
AI 3829,SXR,IXJ,2,IXJ-SXR,144.48
AI 0460,VGA,DEL,3,DEL-VGA,1389.84
AI 0470,RPR,DEL,3,DEL-RPR,944.19
AI 0406,DEL,VNS,2,VNS-DEL,667.30
AI 0651,BOM,TIR,2,TIR-BOM,935.31
AI 0729,CCU,GAU,4,GAU-CCU,498.31
AI 0739,BBI,BLR,3,BLR-BBI,1165.68
AI 0524,JAI,BLR,1,BLR-JAI,1527.96
AI 0713,CCU,IMF,1,IMF-CCU,602.16
AI 0612,JAI,BOM,4,BOM-JAI,911.33
AI 0695,BOM,VNS,1,VNS-BOM,1247.48
AI 0707,BOM,IDR,3,IDR-BOM,505.95
AI 0828,SXR,DEL,1,DEL-SXR,642.91
AI 3830,IXJ,SXR,2,SXR-IXJ,144.48
AI 0865,DEL,BOM,1,BOM-DEL,1136.82
AI 0477,DEL,BBI,4,BBI-DEL,1277.42
AI 0717,PNQ,LKO,2,LKO-PNQ,1156.28
AI 0541,TIR,DEL,2,DEL-TIR,1678.54
AI 0626,LKO,BOM,3,BOM-LKO,1183.58
AI 0402,CCU,DEL,4,DEL-CCU,1312.81
AI 0543,HYD,DEL,4,DEL-HYD,1266.57
AI 0645,BOM,JDH,3,JDH-BOM,796.64
AI 0411,DED,DEL,3,DEL-DED,209.71
AI 0482,BHO,DEL,3,DEL-BHO,586.29
AI 0573,BLR,PAT,1,PAT-BLR,1579.63
AI 0405,VNS,DEL,2,DEL-VNS,667.30
AI 3426,SXR,DEL,2,DEL-SXR,642.91
AI 0650,ATQ,BOM,3,BOM-ATQ,1416.61
AI 0730,GAU,CCU,4,CCU-GAU,498.31
AI 0454,NDC,ATQ,2,ATQ-NDC,1415.49
AI 0709,CCU,DMU,2,DMU-CCU,648.13
AI 0417,DEL,IXR,4,IXR-DEL,1007.64
AI 0651,TIR,VTZ,2,VTZ-TIR,602.03
AI 0669,BOM,BBI,1,BBI-BOM,1361.68
AI 0713,IMF,AJL,1,AJL-IMF,164.92
AI 0506,DEL,BLR,1,BLR-DEL,1708.87
AI 0708,IDR,BOM,3,BOM-IDR,505.95
AI 0663,BOM,GOI,3,GOI-BOM,424.80
AI 0883,DEL,GOI,2,GOI-DEL,1502.89
AI 0471,DEL,UDR,1,UDR-DEL,541.16
AI 0549,MAA,IXZ,1,IXZ-MAA,1372.56
AI 0696,VNS,BOM,1,BOM-VNS,1247.48
AI 0718,LKO,CCU,2,CCU-LKO,889.21
AI 0512,DEL,TRV,2,TRV-DEL,2232.15
AI 0478,BBI,DEL,4,DEL-BBI,1277.42
AI 0646,JDH,BOM,3,BOM-JDH,796.64
AI 0421,DEL,IDR,3,IDR-DEL,661.52
AI 0403,DEL,RAJ,2,RAJ-DEL,940.17
AI 0425,DEL,CNN,4,CNN-DEL,1856.92
AI 0714,AJL,IMF,1,IMF-AJL,164.92
AI 0651,VTZ,BOM,2,BOM-VTZ,1103.34
AI 0710,DMU,CCU,2,CCU-DMU,648.13
AI 0891,DEL,GAU,3,GAU-DEL,1456.12
AI 0418,IXR,DEL,4,DEL-IXR,1007.64
AI 0475,DEL,JDH,1,JDH-DEL,474.52
AI 0574,PAT,BLR,1,BLR-PAT,1579.63
AI 0472,UDR,DEL,1,DEL-UDR,541.16
AI 0664,GOI,BOM,3,BOM-GOI,424.80
AI 0697,BOM,PAT,4,PAT-BOM,1448.79
AI 0454,ATQ,DEL,2,DEL-ATQ,414.49
AI 0670,BBI,BOM,1,BOM-BBI,1361.68
AI 0565,BLR,LKO,1,LKO-BLR,1544.12
AI 0714,IMF,CCU,1,CCU-IMF,602.16
AI 0550,IXZ,MAA,1,MAA-IXZ,1372.56
AI 0422,IDR,DEL,3,DEL-IDR,661.52
AI 0655,BOM,RAJ,3,RAJ-BOM,418.82
AI 0687,BOM,DEL,1,DEL-BOM,1136.82
AI 0884,GOI,DEL,2,DEL-GOI,1502.89
AI 0415,DEL,PAT,4,PAT-DEL,857.01
AI 0476,JDH,DEL,1,DEL-JDH,474.52
AI 0553,DEL,MAA,1,MAA-DEL,1759.82
AI 0637,BOM,AMD,1,AMD-BOM,444.16
AI 0427,DEL,VNS,2,VNS-DEL,667.30
AI 0513,TRV,DEL,2,DEL-TRV,2232.15
AI 0447,BOM,IXU,3,IXU-BOM,278.86
AI 0652,BOM,RPR,4,RPR-BOM,954.70
AI 0425,CNN,CCJ,4,CCJ-CNN,97.64
AI 0641,BOM,BDQ,2,BDQ-BOM,363.02
AI 0451,DEL,VTZ,2,VTZ-DEL,1357.23
AI 0698,PAT,BOM,4,BOM-PAT,1448.79
AI 0656,RAJ,BOM,3,BOM-RAJ,418.82
AI 0888,BOM,DEL,1,DEL-BOM,1136.82
AI 0566,LKO,BLR,1,BLR-LKO,1544.12
AI 0416,PAT,DEL,4,DEL-PAT,857.01
AI 0892,GAU,DEL,3,DEL-GAU,1456.12
AI 0428,VNS,DEL,2,DEL-VNS,667.30
AI 0638,AMD,BOM,1,BOM-AMD,444.16
AI 0425,CCJ,DEL,4,DEL-CCJ,1940.51
AI 0624,DEL,BOM,1,BOM-DEL,1136.82
AI 0531,DEL,AMD,4,AMD-DEL,755.09
AI 0448,IXU,BOM,3,BOM-IXU,278.86
AI 0642,BDQ,BOM,2,BOM-BDQ,363.02
AI 0653,RPR,BOM,4,BOM-RPR,954.70
AI 0693,BOM,TRV,4,TRV-BOM,1257.71
AI 0452,VTZ,DEL,2,DEL-VTZ,1357.23
AI 0554,MAA,DEL,1,DEL-MAA,1759.82
AI 0863,DEL,BOM,1,BOM-DEL,1136.82
AI 0532,AMD,DEL,4,DEL-AMD,755.09
AI 0694,TRV,BOM,4,BOM-TRV,1257.71
AI 3427,DEL,DIB,1,DIB-DEL,1761.61
AI 0893,DEL,DIB,1,DIB-DEL,1761.61
AI 0787,CCU,IXZ,3,IXZ-CCU,1306.14
AI 0895,DEL,IXA,1,IXA-DEL,1502.19
AI 0453,DEL,ATQ,1,ATQ-DEL,414.49
AI 0423,DEL,STV,1,STV-DEL,936.60
AI 3419,DEL,IXL,2,IXL-DEL,621.97
AI 0568,HYD,DED,1,DED-HYD,1441.08
AI 0445,DEL,IXL,2,IXL-DEL,621.97
AI 0707,BOM,IDR,2,IDR-BOM,505.95
AI 3425,DEL,SXR,1,SXR-DEL,642.91
AI 0453,ATQ,NDC,1,NDC-ATQ,1415.49
AI 3427,DIB,GAU,1,GAU-DIB,373.40
AI 0512,DEL,TRV,1,TRV-DEL,2232.15
AI 3420,IXL,DEL,2,DEL-IXL,621.97
AI 0549,MAA,IXZ,1,IXZ-MAA,1372.56
AI 0879,DEL,IXB,2,IXB-DEL,1125.76
AI 0423,STV,CCU,1,CCU-STV,1628.72
AI 0708,IDR,BOM,2,BOM-IDR,505.95
AI 0896,IXA,DEL,1,DEL-IXA,1502.19
AI 0481,DEL,BHO,1,BHO-DEL,586.29
AI 0449,IXL,IXJ,2,IXJ-IXL,298.45
AI 3426,SXR,DEL,1,DEL-SXR,642.91
AI 0651,BOM,VTZ,2,VTZ-BOM,1103.34
AI 0894,DIB,DEL,1,DEL-DIB,1761.61
AI 3427,GAU,DEL,1,DEL-GAU,1456.12
AI 0788,IXZ,CCU,2,CCU-IXZ,1306.14
AI 0568,DED,BLR,1,BLR-DED,1889.97
AI 0721,CCU,IXB,2,IXB-CCU,447.89
AI 0713,CCU,IMF,1,IMF-CCU,602.16
AI 0450,IXJ,IXL,2,IXL-IXJ,298.45
AI 0482,BHO,DEL,1,DEL-BHO,586.29
AI 0550,IXZ,MAA,1,MAA-IXZ,1372.56
AI 0880,IXB,DEL,2,DEL-IXB,1125.76
AI 0454,NDC,ATQ,1,ATQ-NDC,1415.49
AI 0485,DEL,IXZ,1,IXZ-DEL,2484.67
AI 0674,CCU,STV,1,STV-CCU,1628.72
AI 0651,VTZ,TIR,2,TIR-VTZ,602.03
AI 0713,IMF,AJL,1,AJL-IMF,164.92
AI 0722,IXB,CCU,2,CCU-IXB,447.89
AI 0446,IXL,DEL,2,DEL-IXL,621.97
AI 0883,DEL,GOI,1,GOI-DEL,1502.89
AI 0521,HYD,VTZ,3,VTZ-HYD,511.79
AI 0568,BLR,HYD,1,HYD-BLR,455.16
AI 0714,AJL,IMF,1,IMF-AJL,164.92
AI 0403,DEL,RAJ,1,RAJ-DEL,940.17
AI 0651,TIR,BOM,2,BOM-TIR,935.31
AI 0475,DEL,JDH,1,JDH-DEL,474.52
AI 3713,CCU,IMF,1,IMF-CCU,602.16
AI 0454,ATQ,DEL,1,DEL-ATQ,414.49
AI 0714,IMF,CCU,1,CCU-IMF,602.16
AI 0674,STV,BBI,1,BBI-STV,1363.35
AI 0486,IXZ,DEL,1,DEL-IXZ,2484.67
AI 0522,VTZ,HYD,3,HYD-VTZ,511.79
AI 3714,IMF,CCU,1,CCU-IMF,602.16
AI 0884,GOI,DEL,1,DEL-GOI,1502.89
AI 0404,RAJ,DEL,1,DEL-RAJ,940.17
AI 0476,JDH,DEL,1,DEL-JDH,474.52
AI 0553,DEL,MAA,1,MAA-DEL,1759.82
AI 0637,BOM,AMD,1,AMD-BOM,444.16
AI 0427,DEL,VNS,1,VNS-DEL,667.30
AI 0467,DEL,VGA,3,VGA-DEL,1389.84
AI 0451,DEL,VTZ,1,VTZ-DEL,1357.23
AI 0424,BBI,STV,1,STV-BBI,1363.35
AI 0513,TRV,DEL,1,DEL-TRV,2232.15
AI 0437,DEL,BHO,1,BHO-DEL,586.29
AI 0428,VNS,DEL,1,DEL-VNS,667.30
AI 0638,AMD,BOM,1,BOM-AMD,444.16
AI 0468,VGA,DEL,3,DEL-VGA,1389.84
AI 0452,VTZ,DEL,1,DEL-VTZ,1357.23
AI 0554,MAA,DEL,1,DEL-MAA,1759.82
AI 0424,STV,DEL,1,DEL-STV,936.60
AI 0438,BHO,DEL,1,DEL-BHO,586.29
AI 0549,MAA,IXZ,2,IXZ-MAA,1372.56
AI 0895,DEL,IXA,1,IXA-DEL,1502.19
AI 0719,CCU,BBI,2,BBI-CCU,381.89
AI 0627,BOM,NAG,2,NAG-BOM,682.59
AI 0469,DEL,NAG,2,NAG-DEL,852.90
AI 0542,DEL,TIR,1,TIR-DEL,1678.54
AI 0688,BOM,DED,1,DED-BOM,1345.34
AI 0827,DEL,SXR,2,SXR-DEL,642.91
AI 0720,BBI,CCU,2,CCU-BBI,381.89
AI 0787,CCU,IXZ,1,IXZ-CCU,1306.14
AI 0550,IXZ,MAA,2,MAA-IXZ,1372.56
AI 0896,IXA,DEL,1,DEL-IXA,1502.19
AI 0628,NAG,BOM,2,BOM-NAG,682.59
AI 3425,DEL,SXR,1,SXR-DEL,642.91
AI 0407,DEL,PAT,1,PAT-DEL,857.01
AI 0470,NAG,DEL,2,DEL-NAG,852.90
AI 0713,CCU,IMF,1,IMF-CCU,602.16
AI 0695,BOM,VNS,2,VNS-BOM,1247.48
AI 0689,DED,BOM,1,BOM-DED,1345.34
AI 0828,SXR,DEL,2,DEL-SXR,642.91
AI 0541,TIR,DEL,1,DEL-TIR,1678.54
AI 0788,IXZ,CCU,1,CCU-IXZ,1306.14
AI 0889,DEL,IMF,1,IMF-DEL,1720.47
AI 3829,SXR,IXJ,1,IXJ-SXR,144.48
AI 0709,CCU,DMU,1,DMU-CCU,648.13
AI 0713,IMF,AJL,1,AJL-IMF,164.92
AI 0408,PAT,DEL,1,DEL-PAT,857.01
AI 3830,IXJ,SXR,1,SXR-IXJ,144.48
AI 0883,DEL,GOI,2,GOI-DEL,1502.89
AI 0696,VNS,BOM,2,BOM-VNS,1247.48
AI 0714,AJL,IMF,1,IMF-AJL,164.92
AI 3426,SXR,DEL,1,DEL-SXR,642.91
AI 0745,CCU,IXA,2,IXA-CCU,316.55
AI 0710,DMU,CCU,1,CCU-DMU,648.13
AI 0475,DEL,JDH,2,JDH-DEL,474.52
AI 0890,IMF,DEL,1,DEL-IMF,1720.47
AI 0670,BBI,BOM,2,BOM-BBI,1361.68
AI 3743,CCU,IXA,2,IXA-CCU,316.55
AI 0714,IMF,CCU,1,CCU-IMF,602.16
AI 0544,DEL,HYD,2,HYD-DEL,1266.57
AI 0746,IXA,CCU,2,CCU-IXA,316.55
AI 0819,DEL,BDQ,3,BDQ-DEL,793.04
AI 0884,GOI,DEL,2,DEL-GOI,1502.89
AI 0476,JDH,DEL,2,DEL-JDH,474.52
AI 0441,DEL,IXU,1,IXU-DEL,981.77
AI 0553,DEL,MAA,2,MAA-DEL,1759.82
AI 0701,CCU,DEL,2,DEL-CCU,1312.81
AI 3744,IXA,CCU,2,CCU-IXA,316.55
AI 0637,BOM,AMD,2,AMD-BOM,444.16
AI 0427,DEL,VNS,1,VNS-DEL,667.30
AI 0641,BOM,BDQ,1,BDQ-BOM,363.02
AI 0483,DEL,RPR,1,RPR-DEL,944.19
AI 0820,BDQ,DEL,3,DEL-BDQ,793.04
AI 0428,VNS,DEL,1,DEL-VNS,667.30
AI 0638,AMD,BOM,2,BOM-AMD,444.16
AI 0840,HYD,DEL,2,DEL-HYD,1266.57
AI 0442,IXU,DEL,1,DEL-IXU,981.77
AI 0642,BDQ,BOM,1,BOM-BDQ,363.02
AI 0683,BOM,GOI,4,GOI-BOM,424.80
AI 0702,DEL,CCU,2,CCU-DEL,1312.81
